text,sentiment,id
терористи намагаються прорвати оборону сил ато дебальцевого,0,34659
києвом свиней виявлено африканську чуму,0,30510
китай показав ядерну ракету здатна вдарити будь точці землі,0,7271
суд арештував імовірних виконавців замаху заступника голови одеської облради,0,34042
херсоні масово ухиляються призову,0,38674
росія вимагає заблокувати рекламу акцій протесту,0,32822
україні молочної продукції є фальсифікатом асоціація виробників молока,0,3546
піхота терористів намагалася прокрастися семигіря,0,30685
нові санкції росії україни не матимуть ефекту економіст,0,10091
щурів людей перестрибнув екзотичний штам гепатиту,0,6090
рф запровадила дзеркальні санкції франції німеччини отруєння навального лавров,0,12830
жителя запоріжжя вилучили вражаючий арсенал зброї,0,35770
донбасі вбито бійця оос поранено втрати окупантів бойовики бмп,0,8898
лорак засвітилась обкладинці російського журналу закликала читати,0,26768
одещини діти пішли плавати саморобному плоті втопились,0,9256
італія закрила найбільший європі табір мігрантів,0,25317
смоленська катастрофа польща вимагає арешту російських авіадиспетчерів,0,33759
президент клініки зеленський здавав тести наркотики заявив створення політсили,0,11514
луганщині обстріли терористів поранено українських військових,0,28304
один ідеологів русского мира пропонує держдумі розірвати договір кордони україни,0,10232
столиці пяний автомобіліст зніс електроопору,0,38196
як світ реагує агресію росії керченський протоці,0,40934
день перемоги російськи другокласники закидали камінням вязня концтабору,0,23095
російські хакери атакують сайти сирійської опозиції,0,32775
росія натякнула ескалацію конфлікту україна відправить кораблі керченську протоку,0,12604
релігійні лідери саудівської аравії закликали джихаду росії,0,32492
франківщині виявили арсенал зброї його власник бував донбасі,0,28774
сша снігову бурю зіткнулися автівок десятки постраждалих,0,38427
київщині впав легкомоторний літак людьми дснс,0,9101
донбасі загинуло українських військових,0,27969
єс оскаржить перейменування проспекту григоренка жукова харкові,0,416
дтп мільйони росії врізався відбійник,0,23568
путінський гумконвой развязав руки терористам,0,11966
південній кореї розпочали процедуру імпічменту президента,0,37607
мітингувальники донецьку бояться захарченко милицях розстріляє,0,8657
сьогодні мінську створено малоросійську колегію іллєнко,0,14165
англії приготували найдорожчу світі сосиску,0,35177
іран призупинив виконання зобовязань ядерною угодою,0,25250
обвинувачені побитті ветерана ато хочуть заплатити менше завдану шкоду,0,29714
помер актор фільму пятий елемент,0,11143
політичну кризу електроважмаш повертаються схеми пшонки експерт,0,18054
роботу уряду гончарука підтримує українців опитування,0,12199
грузії звільнили міністра оборони,0,35542
російський найманець планував вибухи сумах,0,32667
вбивство хашоггі норвегія викликала саудівського посла,0,21702
московський суд відмовив екс слідчому ск позові фсб,0,27677
прокуратура має припинити замилювати очі єспл псевдозаконністю теличенко,0,11707
цвк зареєструвала нового нардепа батьківщини белькової пішла оператор гтс україни,0,17883
терористи днр визначили російську мову єдиною державною підконтрольній території,0,14297
перемиря донбасі добу зафіксували обстріли українських позицій,0,993
змавпований олімпійський логотип токіо заборонили,0,484
узбережжя коста рики оголосили зоною лиха витік токсичних хімікатів океан,0,38961
херсонщині людей загинули вибуху гранати,0,28827
зони ато намагалися провезти телефони модеми міндобриво сбу,0,5317
балі поліція застрелила росіян пограбували обмінник,0,8795
італія заблокувала санкції росії північний потік змі,0,7036
не новим президентом муситиме зробити дуже дуже великі висновки яценюк,0,17867
екс беркутівців постануть судом вересні,0,30156
росії екс слідчий подав суду фсб війну грузією,0,37896
луганщині терористи погрожуючи розстрілом приймали присягу селян вірність лнр,0,9178
ляшко примазався правого сектору вимагає позачергово зібрати раду,0,8143
резніков рф щорічно витрачає млрд окуповані території криму донбасу,0,32472
польщі одномоторний літак впав приватний будинок відео,0,37683
начальник сізо пригрозив савченко годуватимуть насильно,0,9831
фінляндії знайшли нову мутацію коронавірусу,0,38542
палаючої нафтобази києвом є газові резервуари дснс,0,10918
розпуск тервиборчкому одесі цвк сформувала новий склад комісії,0,32606
мінавіації єгипту не підтверджує виявлення уламків,0,27386
кров випарувалася а голови вибухнули як загинули люди помпеях час виверження везувію,0,7857
дефіцит бюджету росії склав млрд,0,23189
росія вимагає відкласти перехід техрегламенти єс,0,32823
рівненському онкодиспансері людей виявили коронавірус,0,37848
києві жінка необережності наковталася чадного газу загинула,0,36234
штаб квартиру європі евакуювали лист аноніма,0,40698
система рада не спрацювала час голосування відставку уряду самопоміч,0,13385
сніг україні укравтодор попередив мокрі дороги ожеледицю ускладнення руху,0,13531
пожежі інтері причетні співробітники каналу шкіряк,0,5353
єврокомісія новий бюджет італії серйозно порушує правила єс,0,23857
французьких солдатів загинули лавиною альпах,0,30157
генасамблея оон підтримала російську резолюцію боротьбу неонацизмом україна сша канада,0,4550
національна спілка журналістів засудила портнова тиск змі,0,29258
законопроект деокупацію має тис поправок більшість суперечливі луценко,0,6393
нардепамслугам рекомендували день народження зеленського розповідати досягнення президента змі,0,9699
експеримент савченко погодилась допомогти бойовикам відкрити посольство лднр києві,0,5669
росія підтягнула адміністративного кордону криму україною комплекси протиповітряної оборони,0,32982
суд змінив міру запобіжного заходу маркову,0,34109
росія оголосила нагороду млн інформацію організаторів теракту а,0,32962
банковій вимагають порошенка підписати демобілізацію,0,27747
російські окупанти криму руйнують скелю ластівчиним гніздом,0,32750
наступного акцизи цигарки виростуть,0,29160
український літак розбився потрапляння птахів двигун,0,39304
гпу викликає допит міністра петренка скаргу екс регіонала люстрації,0,22714
росії фільм не дімон затримали директора фонду навального,0,16498
порошенко розповів російської зброї донбасі,0,11359
бойовики зосередили обстріли маріупольському напрямку,0,20138
китаї терміти зїли заховані фермером юанів,0,36691
києва дзвонити вказувати телефонуйте тремо слід арахамія силовикам миколаєві,0,1644
корупція оборонці набу зареєструвало провадження,0,7742
гпу зареєструвала справу фінансування тероризму підставі відомостей бенефіціарів луценко,0,4770
рогозін погрожує єс злою відповіддю оборонній сфері,0,12201
помер французький мільярдер бенджамін ротшильд,0,31104
шулявського мосту водій збив мотоцикліста втік,0,20009
херсонщині чоловік виростив елітної коноплі гривен,0,28850
італії нацгвардійця марківа запросили увязнення,0,20802
коронавірусу помер колишній єпископ уапц,0,21958
марін пен постане судом публікацію фото звірств ід,0,8243
отруєння сурогатним алкоголем померли осіб,0,21967
як бойовики проводять націоналізацію луганську фотофакт,0,40820
знаття недоторканності скорика не останнє депутатів опоблоку шкіряк,0,6858
бельгії зацвіла трупна квітка,0,14889
кп майорське закрити обстріли штаб оос,0,7758
час авіакатастрофи колумбії екіпаж не просив пасажирів пристебнутися,0,30542
європі виявили першого хворого вірус зіка,0,20636
ердоган звинуватив сша допомозі терористам,0,5731
притулку харкова лопатами палицями вбили кошенят,0,37757
росія призупинила постачання нафти білорусі,0,33016
чернівецькій лікарні жоден медик не виявив бажання вакцинуватися ода,0,16910
масові обшуки кримських татар російські силовики підкидають заборонені предмети книги чубаров,0,8270
регламентний комітет ради поскаржився набу лещенка,0,32459
французьке видання вибачилося російський київ,0,17784
переплутав кущем києві водій збив насмерть пенсіонерку несла хмиз,0,10651
миколаївщині вигоріло га пшениці,0,9219
хабарі посадили прикордонників,0,24462
коронавірус кількість нових випадків добу вперше перевищила,0,26345
обстріл марїнки загинули бійця батальйону дніпро,0,18035
євросоюз травні закрити кордони грецією,0,23901
луценко анонсував подання нардепа,0,26815
сбу штабом терористів донбасу керує російський генерал завізьон,0,33359
трамп назвав своїм обовязком розібратися діями байдена звільненням шокіна,0,14544
спорудження сусідньої висотки софія київська пішла тріщинами,0,40422
литва введе квоти іноземних працівників зростання міграції україни,0,26661
тернопільщині потяг зійшов рейок злодії вкрали частину колії,0,28727
ціни житло зростання новобудовах вторинному ринку,0,17944
львівській області зійшов рейок товарний поїзд,0,36952
радбез оон засудив черговий запуск балістичних ракет кндр,0,32388
час ато журналістів потрапили полон терористів,0,24465
стелі закритого похоронного бюро сша виявили трупи немовлят,0,38172
померла одна найвідоміших архітекторок світу,0,31113
останнім гуманітарним конвоєм бойовики отримали поповнення боєприпасів тимчук,0,6043
коронавірус україні добу виявили нових випадків,0,26239
іран корпус вартових ісламської революції погрожує сша жорсткою помстою,0,7001
жовтим жилетам заборонили протестувати нотр даму,0,419
порошенко звинуватив дбр тиску свободу слова,0,31292
захарченко створює власну газету піару виборами днр,0,6526
бойовики порушують перемиря донбасі сили ато меркель,0,2880
клубок білок лікарям довелося розплутувати заплутані хвости тваринок,0,25938
парє відклали доповідь україни осені,0,37532
будуть слиною бризкати зеленського розказувати ворог кулеба спрогнозував реакцію росії санкції медведчука,0,100
званою владою днр лнр треба домовлятися російських посередників,0,6927
тернополі заборонили наспівувати кобзона лепса,0,38458
жовтня україна заборонить заїзд продуктових вантажів криму,0,24153
росія прибрала звіту дані ймовірного вибуху літака качинського змі,0,12690
закордонній пресі присутня російська дезінформація україни ску,0,15210
лондоні знесли статую майкла джексона скандальний фільм педофілію,0,36913
туристів попереджають закарпатті зійти лавини,0,35068
затриманому вбивство сша мільярдеру загрожувати смертна кара,0,24667
плотницький продовжує керувати головорізами лнр,0,10904
стрільці беркуту маринченко тамтура повернулися києва адвокат,0,13864
голкіпер бойко оголосив бойкот журналістам,0,22612
влада тунісу продовжила надзвичайний стан місяці,0,22190
росії починається суд сенцовим засідання відкритим,0,37968
наглядова рада суспільного відтермінувала відставку аласанії,0,28944
ємець закликав нардепів ввести надзвичайний стан,0,23948
швеція введення миротворців донбас готова розширити санкції росії,0,40598
рада скасувала закон савченко день сізо тюрмі,0,12037
кіска доручив екс премєру фіцо cформувати уряд словаччини,0,25851
парасюка водійських прав зупинили порушення пдр,0,30230
росія формує гумконвої сирії,0,12737
ббп заявили команду саакашвілі могли фінансувати оточення януковича,0,14888
активність луганських бойовиків зросла москаль,0,2225
трамп посварився саудівським принцем,0,34881
столиці австралії оголосили надзвичайну ситуацію лісові пожежі,0,21149
протести білорусі мвс не назвати кількість затриманих,0,32031
цьогоріч українців загинули результаті пожеж,0,40263
мережі оприлюднюють нові відео фото злітної смуги ростовського аеропорту авіакатастрофи,0,20924
марсіанський зонд надсилав знімки фальшивої води вчені,0,8248
кремлі прокоментували рішення навального стати президентом росії,0,36797
заявах росії мн є ознаки підробки росзмі,0,15227
кременчуці зафіксували першу смерть,0,15736
донеччині зафіксували першу смерть коронавірусу,0,28026
львівщині пяний поліцейський збив скутер загинуло юнаків,0,28344
сурков надішле добровольців загострювати ситуацію ато змі,0,14000
єс вимагає арбітражу сот російського мита автомобілі,0,23965
запоріжжі літак мау час посадки серйозно пошкодив шасі фюзеляж,0,35814
віце премєр розповіла україна відстає графіку асоціації єс,0,4236
людина скоїла самогубство київському метро,0,26887
онищенко красти згоди найвищого керівництва соболєв,0,10362
пандемія коронавірусу вооз закликали країни не послаблювати карантинні заходи надто рано,0,30198
антидопінгові організації вимагають відсторонити росію олімпіади,0,19596
танкери зіткнулися берегів бельгії,0,22986
коронавірус україні добу померли українців,0,26246
російські тюремники пообіцяли затримати навального повернення рф,0,32770
криму згорів автомобіль голови місцевого меджлісу,0,36825
ляшко хоче повернути смертну кару,0,26911
києві врізався маршрутку,0,36062
територіях днр лнр утворився український офшор тука,0,9430
чимало шкіл тернопільщини повертаються дистанційного навчання,0,40474
геращенко хоче заборонити горбачову вїзд україну євросоюз,0,22542
уряд росії пропонує саджати хакерів тюрми,0,39703
києві грипу помер чоловік,0,36239
люди квадратними обличчями схильні агресії сексі дослідження,0,8122
путін розповів солодку казочку невинність росії керченській протоці,0,11927
російське майно україні має негайно націоналізоване ляшко,0,12304
україна підготує претензію росії відшкодування збитків окупацію територій,0,39128
туреччина погрожує затримати вступ північної македонії нато,0,35055
правий сектор відреагував оголошення стойки розшук,0,1089
каха каладзе пішов відставку посту віце премєра грузії,0,25526
одесі трирічна дитина загинула падіння шахту ліфта,0,21014
звільнення українських бранців росії гра довгу правозахисниця,0,6599
забагато фото мексиканському парку ввели податок селфі,0,24474
києві приміщенні лотереї зарізали відвідувача,0,20875
бойовики обстрілюють позиції сил ато всій лінії зіткнення поранено військових,0,2858
саакашвілі намагається заробити одеському припортовому заводі заступник директора опз,0,12882
венеції заборонили рух каяках каное гранд каналу,0,35425
днр оголосили чергову хвилю примусової мобілізації,0,3055
москві поліція затримує бє активістів,0,37295
днів нємцову росії запланували хвилину немовчання,0,8782
сбу назвали фантазією росії затримання українського шпигуна,0,21136
напади активістів береза заявив втрачені докази гучній справі,0,9653
україні коронавірус захворіли людей моз,0,3671
помер відомий український дизайнер одягу сергій єрмаков,0,31044
населених пунктів досі залишаються світла,0,31133
єс міжнародні донори закликають україну відмовитися зелених тарифів,0,5908
києвом зіштовхнулися маршрутний автобус леговик загинули травмовані,0,10759
херсонщині водій не впорався керуванням влетів канал загинули дітей дорослий,0,28833
землі загрожують найнебезпечніші сонячні спалахи х класу,0,25010
світовий банк мвф незадоволені проектом пенсійної реформи змі,0,13105
конгрес сша зібрався показати рекламу яку купили росіяни,0,7571
вбивство сина соболєва депутат дасть млн інформацію замовника,0,21698
дуже велика помилка трамп прокоментував знищення американського безпілотника іраном,0,23592
чоловіки костюмах вуличних музик відкрили вогонь перехожих середмісті мехіко,0,40510
довжелезні затори черги зупинках києві стався транспортний колапс закриття метро фото,0,23453
норвегії повідомили новий штам коронавірусу,0,37477
бойовики почали штурмувати авдіївку змі,0,2881
україні ускладнень коронавірусу померла друга дитина степанов,0,3579
рф ухвалили закон прийняття держслужбу екс громадян україни,0,16533
україні коронавірусом заразилася людина інфікованих померли,0,3645
метро токіо отруїлися людей,0,37141
киргизстані почались акції протесту виборів парламенту,0,20879
касько затримання мазура росія використовувала інтерпол,0,25498
уроки граматики китаї звільнили редакторів відставку сі цзіньпіна,0,17499
сша помер перший виконавець ролі христа рок опері ісус христос суперзірка джефф фенхолт,0,16739
сирії армія асада авіаударом вбила керівника групи повстанців,0,38101
гурт невдовзі розпадеться,0,22943
долар подорожчав копійок,0,23470
прикарпатті згоріла майже річна церква,0,28568
сша закликають оон примусити росію виконувати мінськ,0,34318
україні зафіксували другу смерть щеплення,0,21342
лавров розповів говоритиме путін генасамблеї оон,0,7924
росія збирається ввести санкції сотень осіб україни змі,0,12544
брейвік оскаржує негуманне увязнення євросуді прав людини,0,2955
кількість жертв вибуху китаї зросла людей,0,25758
хакер росії зізнався втручанні американські вибори завдання фсб,0,40068
туреччина готує росії відповідь санкції змі,0,14677
виклик допит дбр спроба влади змусити мовчати зрив спецоперації захопленню вагнерівців бутусов,0,4030
мешканці франківщини перекрили дорогу буковель,0,8419
хмельницькій області вантажівка зіткнулася мікроавтобусом загиблих,0,38680
мера ніцци назвав ялту частиною росії звільнити,0,8379
київщині пенсіонерка спалила гектар поля дерев викурювала лисиць,0,28212
києві дорожні знаки зупинку заборонено почали доповнювати табличками працює евакуатор,0,15433
кожна четверта українська дівчина зазнавала насилля дослідження,0,7482
бойовики втретє не пустили обсє широкиного,0,20089
росії чиновників хочуть відправляти поїздки економ класом,0,38009
росіянка айдару розповіла напала ляшка,0,12803
території києво печерської лаври виникла пожежа відео,0,28710
вооз новий штам виявили країнах європи,0,22283
плутоном існувати суперземлі,0,24436
штаб бойовики обстріляли позиції підрозділів сил ато артилерії мінометів гранатометів стрілецької зброї,0,18252
китаї повінь зруйнувала тисячі будинків десятки загиблих,0,15673
мкс зламався туалет російській частині станції,0,28417
києві парку знайшли арсенал зброї,0,36117
поліція італії затримала джихадистів погрожували папі,0,11070
війська асада застосували хімічну зброю,0,4180
суд міста яремче оштрафував жінку пост фейком коронавірус,0,34122
зявилася нова інформація українців знайшли мертвими холодильній камері польщі,0,6102
дбр прохання сбу перевіряє інформацію замах білецького,0,22980
вчені звязали вищу освіту підвищеним ризиком раку мозку,0,22380
мзс росії вручило україні ноту протесту облиті лайном машини посольства,0,27278
прикодонники зловили річну жінку півсотнею спідницею,0,31881
терористи завершили перегрупування військ донецька майорська,0,34640
ердоган не відмовиться російських с погрожує придбати,0,23763
раді ініціюють відставку луценка,0,37807
російські хакери атакували аеропорт бориспіль,0,12417
росія замінить боїнги аеробуси своїми іл,0,12529
україні ціни бензин дизельне пальне підняли копійок,0,21483
нацбанк встановив офіційний курс грн долар,0,40945
урагану еріка домініці загинуло людей,0,4281
нафтопереробному заводі сша стався потужний вибух,0,28428
москві горить будівля російської розвідки,0,37278
аксьонов оголосив криму режим військового часу віджимати бізнес,0,2204
прокремлівського хакера хелла звільнили перегляд порно вірусами,0,11695
росії засудили активістку пости підтримку україни,0,37911
минулу добу києві виявили випадків зараження коронавірусом медиків кличко,0,6245
нацбанк ліквідує банк хрещатик,0,9794
активісти висунули вимогу засновника айдару,0,2214
україна призупинити членство інтерполі разі обрання президентом росіянина аваков,0,17159
кременчуці закрили району лікарню спалах медиків,0,36776
дітей втопилися водоймах україни добу,0,30155
вірус зіка стати ліками боротьби раком мозку,0,22138
загострення ато добу вбито українських бійців поранено,0,6363
російський гумконвой уже донецьку луганську,0,12315
франція сша посилять атаки ісламську державу теракту парижі,0,17765
льовочкін не зявився допит мвс,0,8113
янукович поплічниками викрали україні мільярдів,0,41010
росії стверджують агресія україни не порушення будапештського меморандуму,0,16485
білорусь готова взяти контроль українсько російський кордон ордло лукашенко,0,2586
свердловську російські військові зробили братську могилу шахті,0,3511
росія виселяє людей будівництво керченського мосту,0,32832
